0.png	0+5=?
1.png	8+7=?
2.png	9/3=?
3.png	4+5=?
4.png	6+3=?
5.png	4-3=?
6.png	6-2=?
7.png	6*0=?
8.png	7*3=?
9.png	5*6=?
10.png	4*4=?
11.png	8*7=?
12.png	3/3=?
13.png	6-1=?
14.png	4*9=?
15.png	8+4=?
16.png	8+2=?
17.png	7+6=?
18.png	2/2=?
19.png	9+1=?
20.png	8+4=?
21.png	4+6=?
22.png	7-5=?
23.png	1*2=?
24.png	3-2=?
25.png	1*8=?
26.png	7+9=?
27.png	9+7=?
28.png	9-9=?
29.png	9+6=?
30.png	5-1=?
31.png	9-0=?
32.png	8-4=?
33.png	9+2=?
34.png	0+6=?
35.png	6-0=?
36.png	5*7=?
37.png	2*6=?
38.png	6/3=?
39.png	8+6=?
40.png	4*7=?
41.png	9-0=?
42.png	3*2=?
43.png	7+1=?
44.png	6+1=?
45.png	2-1=?
46.png	2+9=?
47.png	6-5=?
48.png	3+4=?
49.png	2+3=?
50.png	3+7=?
51.png	8-7=?
52.png	4+5=?
53.png	3*6=?
54.png	9*0=?
55.png	8*8=?
56.png	5+6=?
57.png	6+2=?
58.png	4+1=?
59.png	7-1=?
60.png	1*7=?
61.png	9+5=?
62.png	6/1=?
63.png	5+1=?
64.png	0*7=?
65.png	3*6=?
66.png	6/6=?
67.png	9+5=?
68.png	9-1=?
69.png	6/3=?
70.png	9*9=?
71.png	9*6=?
72.png	4*1=?
73.png	3*4=?
74.png	0+9=?
75.png	4-0=?
76.png	6-1=?
77.png	3/1=?
78.png	6+9=?
79.png	7+8=?
80.png	0+8=?
81.png	5+7=?
82.png	9-0=?
83.png	7/7=?
84.png	9+3=?
85.png	9/9=?
86.png	6-3=?
87.png	9-3=?
88.png	6-0=?
89.png	5*1=?
90.png	2+3=?
91.png	4+2=?
92.png	0+2=?
93.png	9-8=?
94.png	2+9=?
95.png	7-4=?
96.png	8*3=?
97.png	8+5=?
98.png	9/1=?
99.png	8+7=?
100.png	3+5=?
101.png	2-0=?
102.png	9+8=?
103.png	0+0=?
104.png	7*6=?
105.png	7-1=?
106.png	6-3=?
107.png	9-6=?
108.png	1*6=?
109.png	0*5=?
110.png	7+3=?
111.png	4+6=?
112.png	4+5=?
113.png	7+9=?
114.png	5*4=?
115.png	3+2=?
116.png	3-2=?
117.png	6+5=?
118.png	5-0=?
119.png	0/9=?
120.png	9+3=?
121.png	8*3=?
122.png	5*6=?
123.png	7*6=?
124.png	4/1=?
125.png	3+8=?
126.png	4/2=?
127.png	3-1=?
128.png	9-1=?
129.png	1*8=?
130.png	8+6=?
131.png	9*1=?
132.png	2*9=?
133.png	3-0=?
134.png	8/8=?
135.png	8/4=?
136.png	7-3=?
137.png	5+3=?
138.png	5/5=?
139.png	7+8=?
140.png	0/4=?
141.png	4-2=?
142.png	5/1=?
143.png	3+1=?
144.png	9*6=?
145.png	3*0=?
146.png	6*5=?
147.png	7-1=?
148.png	3+6=?
149.png	5-2=?
150.png	7+4=?
151.png	2*0=?
152.png	3*8=?
153.png	5+3=?
154.png	0/4=?
155.png	8/4=?
